HR>1	HR>1_worst_10_prog	HR<1	HR<1_best_10_prog	cytokine_chemokine_activator	activator_T	suppressor_T	B_cell_all	innate_cell_all	general
S_TREM1_data	S_TGFB_score_21050467	S_Buck14_score	S_Buck14_score	S_Expanded_IFNg	S_T_cells	S_Treg	S_CSR_Activated_15701700	S_pDC	S_Buck14_score
S_CHANG_CORE_SERUM_RESPONSE_UP	S_TGFB_PCA_17349583	S_Bcell_receptors_score	S_Bcell_receptors_score	S_IL2_score_21050467	S_Tcell_receptors_score	S_TGFB_score_21050467	S_Bcell_receptors_score	NA	S_Rotterdam_ERneg_PCA_15721472
S_IL8_21978456	S_Lymph_Vessels	S_TFH	S_TFH	S_IL12_score_21050467	S_Tcell_21978456	S_CTLA4_data	S_B_cell_PCA_16704732	NA	S_KEGG_Cytosolic_DNA_Sensing
NA	S_Rotterdam_ERneg_PCA_15721472	S_CD103pos_mean_25446897	S_CD103pos_mean_25446897	S_IFNG_score_21050467	S_CD8_Tcells	S_PD1_data	NA	NA	NA
NA	S_IFNG_score_21050467	S_T_helper	S_T_helper	S_IR7_score	S_CD8A	S_PDL1_data	NA	NA	NA
NA	S_Module11_Prolif_score	NA	S_Attractors_G_SLAMF6	S_Interferon_19272155	S_T_helper	S_PD1_PDL1_score	NA	NA	NA
NA	S_TREM1_data	NA	S_ICS5_score	S_Minterferon_Cluster_21214954	S_Th17	S_IL4_score_21050467	NA	NA	NA
NA	NA	NA	NA	S_Interferon_Cluster_21214954	S_Tcm	S_IL13_score_21050467	NA	NA	NA
NA	NA	NA	NA	S_IFN_21978456	S_Tem	S_TGFB_PCA_17349583	NA	NA	NA
NA	NA	NA	NA	S_Attractors_IFIT3	S_Th1	S_TcClassII_score	NA	NA	NA
NA	NA	NA	NA	S_Module3_IFN_score	S_TFH	S_KEGG_TGF_Beta	NA	NA	NA
NA	NA	NA	NA	NA	S_Cytotoxic_cells	S_ICR_INHIB_SCORE	NA	NA	NA
NA	NA	NA	NA	NA	C_TcellsCD4memoryresting	NA	NA	NA	NA
NA	NA	NA	NA	NA	S_T_cell_PCA_16704732	NA	NA	NA	NA
NA	NA	NA	NA	NA	S_Attractors_G_CD3E	NA	NA	NA	NA
NA	NA	NA	NA	NA	S_Tgd	NA	NA	NA	NA
NA	NA	NA	NA	NA	S_CD8_PCA_16704732	NA	NA	NA	NA
NA	NA	NA	NA	NA	S_Module4_TcellBcell_score	NA	NA	NA	NA
NA	NA	NA	NA	NA	S_Module5_TcellBcell_score	NA	NA	NA	NA
NA	NA	NA	NA	NA	S_CD8_CD68_ratio	NA	NA	NA	NA
NA	NA	NA	NA	NA	S_ICR_SCORE	NA	NA	NA	NA
NA	NA	NA	NA	NA	S_ICR_ACT_SCORE	NA	NA	NA	NA
NA	NA	NA	NA	NA	S_GRANS_PCA_16704732	NA	NA	NA	NA
